2026-01-27 12:18:46.229 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 2: Inliers 数量较少 (4), 可能导致配准质量差
2026-01-27 12:18:46.229 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 3: 匹配点数不足 (3 < 4)
2026-01-27 12:18:46.688 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 0: 总匹配点=5, Spatial Binning后=5
2026-01-27 12:18:46.689 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 0: RANSAC 成功, inliers=4/5, H_est是否单位矩阵=False
2026-01-27 12:18:46.690 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 0: Inliers 数量较少 (4), 可能导致配准质量差
2026-01-27 12:18:46.690 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 1: 匹配点数不足 (0 < 4)
2026-01-27 12:18:46.690 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 2: 匹配点数不足 (0 < 4)
2026-01-27 12:18:46.691 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 3: 总匹配点=6, Spatial Binning后=6
2026-01-27 12:18:46.692 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 3: RANSAC 成功, inliers=4/6, H_est是否单位矩阵=False
2026-01-27 12:18:46.692 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 3: Inliers 数量较少 (4), 可能导致配准质量差
2026-01-27 12:18:47.158 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 0: 总匹配点=8, Spatial Binning后=8
2026-01-27 12:18:47.160 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 0: RANSAC 成功, inliers=4/8, H_est是否单位矩阵=False
2026-01-27 12:18:47.160 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 0: Inliers 数量较少 (4), 可能导致配准质量差
2026-01-27 12:18:47.161 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 1: 总匹配点=4, Spatial Binning后=4
2026-01-27 12:18:47.162 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 1: RANSAC 成功, inliers=4/4, H_est是否单位矩阵=False
2026-01-27 12:18:47.162 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 1: Inliers 数量较少 (4), 可能导致配准质量差
2026-01-27 12:18:47.162 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 2: 匹配点数不足 (0 < 4)
2026-01-27 12:18:47.163 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 3: 匹配点数不足 (2 < 4)
2026-01-27 12:18:47.280 | INFO     | src.utils.metrics:aggregate_metrics:350 - Aggregating metrics over 18 unique items...
